Collection,Discord,Twitter Handle,
beanzofficial,,Azuki
bored-ape-kennel-club,https://discord.gg/wjH7hGz2yS,boredapeyc
chimpersnft,https://discord.gg/chimpers,ChimpersNFT
clonex,https://discord.gg/rtfkt,RTFKT
meebits,https://discord.com/invite/meebits,MeebitsNFTs
otherdeed,https://discord.gg/the-otherside,othersidemeta
sappy-seals,https://discord.gg/zy2dfyMKwE,SappySealsNFT
kanpai-pandas,https://discord.gg/kanpaipandas,KanpaiPandas
opepen-edition,,jackbutcher
trainersgen1,https://discord.gg/thepixelmon,Pixelmon
emby-1,,play_ember
real-nobody-xyz,https://discord.gg/realnobodyxyz,realnobodyxyz
memelandpotatoz,https://discord.gg/memeland,memeland
persona,,Persona_Journey
